county_fips_code,study_year,unr_16,funr_16,munr_16,unr_20to64,funr_20to64,munr_20to64,flfpr_20to64,flfpr_20to64_under6,flfpr_20to64_6to17,flfpr_20to64_under6_6to17,mlfpr_20to64,pr_f,pr_p,mhi_2018,me_2018,fme_2018,mme_2018,total_pop,one_race,one_race_w,one_race_b,one_race_i,one_race_a,one_race_h,one_race_other,two_races,hispanic,households,h_under6_both_work,h_under6_f_work,h_under6_m_work,h_under6_single_m,h_6to17_both_work,h_6to17_fwork,h_6to17_mwork,h_6to17_single_m,emp_m,memp_m,femp_m,emp_service,memp_service,femp_service,emp_sales,memp_sales,femp_sales,emp_n,memp_n,femp_n,emp_p,memp_p,femp_p,mcsa,mfccsa,mc_infant,mc_toddler,mc_preschool,mfcc_infant,mfcc_toddler,mfcc_preschool,fips
39091,2018,4.88,5.07,4.73,4.1,4.5,3.8,70.8,75.1,83.6,67.6,83.8,9.7,13.4,55150,32667,25885,40622,45307,97.7,94.7,1.7,0.2,0.9,0,0.2,2.3,1.5,18654,1121,662,129,813,3385,1200,324,1325,27.51,22.33,33.54,12.9,9.62,16.73,19.44,10.26,30.14,8.97,15.72,1.11,31.18,42.08,18.49,100,120,181,165,145,147.17,140,132.37,39091
20201,2018,2.89,1.86,3.71,1.9,2,1.9,79.9,95.6,73.2,75.8,87.4,7.5,13,48889,30560,22018,37556,5525,97.6,96.5,0.3,0.1,0,0,0.7,2.4,3.4,2344,260,59,22,46,416,180,13,109,32.39,28.48,37.15,13.63,6.56,22.24,19.02,12.52,26.94,16.83,26.18,5.44,18.13,26.25,8.24,92.2,81.7,113,117.1,101.8,96.3,81.7,81.7,20201
51111,2018,4.39,3.05,5.54,3.6,3.4,3.9,61.4,51.7,62.8,81,55.7,10.9,17.9,41868,28960,24466,33343,12278,98,62.3,30.8,0.1,3.2,0,1.5,2,4.5,4331,219,136,6,203,577,209,33,404,22.19,16.58,28.52,19.62,14.89,24.95,16.89,7.64,27.33,16.24,29.66,1.1,25.06,31.22,18.1,100,75,130,100,100,125,85,85,51111
48173,2018,0,0,0,0,0,0,53.3,46.2,80.8,0,94.8,7.4,9.5,75833,30061,23171,35250,1430,100,70.6,0,0,0,0,29.4,0,43.8,432,18,19,0,0,137,48,12,33,40.92,39.19,44.49,14.27,7.71,27.75,6.48,0.86,18.06,12.68,17.34,3.08,25.65,34.9,6.61,121.3,104.85,155.25,141.15,129.5,133.8,126.25,118.55,48173
20177,2018,4.52,3.91,5.11,3.8,3.2,4.4,75.7,77.7,85.9,75.1,82.3,8.3,12.8,55199,33900,30264,39329,178284,95.6,82.5,8.3,0.9,1.4,0.1,2.4,4.4,12.2,72017,5727,2836,252,3394,14828,3670,719,6162,38.51,32.47,44.63,16.36,14.12,18.62,21.81,14.26,29.47,9.02,17.27,0.66,14.3,21.88,6.62,91.3,78.8,98.6,108,94.5,91.5,78.8,78.8,20177
46053,2018,1.07,1.29,0.89,0.8,0.9,0.6,78.9,60,89.3,78.7,84.7,9.9,13.9,44479,27736,21267,32647,4201,97,88.1,0,6.9,1.7,0,0.4,3,0.6,1845,149,30,0,96,417,53,3,149,35.04,33.63,36.75,19.98,10.58,31.41,20.13,13.99,27.59,14.47,23.77,3.16,10.38,18.03,1.09,107.71,86.17,103.4,103.4,100.82,86.17,86.17,86.17,46053
48149,2018,1.65,1.87,1.45,1.3,1.4,1.2,68.9,89.2,82.7,71.5,80.5,5.8,10.9,56297,31230,24386,40940,25066,99,90.2,6.4,0.1,0.5,0,1.9,1,20.8,9067,791,390,34,291,1838,628,25,637,23.68,19.82,28.09,18.12,11.67,25.49,24.91,12.95,38.56,15.79,28.84,0.9,17.5,26.73,6.97,145.45,128.05,180.9,166.2,154.05,158.55,150.65,142.55,48149
27113,2018,3,2.31,3.64,3.2,2.5,3.8,85.1,89,86.4,71.3,88.7,6.5,9.8,59036,35224,30081,40602,14184,97.8,93.6,1.2,1.7,1,0,0.3,2.2,3.6,5970,428,153,0,381,962,361,4,520,31.51,28.8,34.43,13.05,6.77,19.8,25.76,19.44,32.58,7.69,14.48,0.38,21.99,30.51,12.81,147,120,175,157,151,130,125,125,27113
37053,2018,4.81,5.59,4.16,4.1,4.2,4.1,67.1,61.2,70.8,48.9,83.8,6.6,10,66284,36374,29168,42066,25796,97.7,90.2,5.7,0.5,0.4,0,1,2.3,3.8,10148,423,736,0,234,1434,1088,188,678,33.83,29.51,39.07,16.71,16.51,16.95,23.4,12.84,36.22,16.7,29.71,0.92,9.36,11.44,6.85,92.58,129.99,156.99,134.99,119.99,139.99,112.49,99.99,37053
21183,2018,9.12,9.19,9.06,7.2,7.9,6.6,65.5,75.6,75.8,62.9,77,15.2,20.5,42826,25943,21878,30497,24071,99,97.3,0.9,0,0.3,0,0.5,1,3.4,9076,515,234,39,396,1478,632,241,1006,25.3,18.74,33.21,16.21,12.33,20.89,21.36,13.19,31.22,14.87,26.38,1.01,22.25,29.36,13.67,97.5,85,112.5,102.5,102.5,90,86.25,86.25,21183
48371,2018,3.51,4.48,2.87,3.2,3.8,2.7,62.2,46.9,59.8,47.3,58.4,9.5,12.3,52282,31217,22231,39119,15797,99.2,82.8,3.7,1.1,0.5,0.1,11.1,0.8,68.6,4557,314,499,20,298,795,1065,26,442,22.44,16.64,31.33,20.54,12.36,33.07,18.26,9.68,31.41,21,34.1,0.91,17.77,27.22,3.28,121.3,104.85,155.25,141.15,129.5,133.8,126.25,118.55,48371
48107,2018,7.25,9,5.91,6.9,8.5,5.5,70.6,58.9,79.1,77.6,83.2,17,20.7,37899,23740,19066,29531,5861,98.4,89.3,4.1,0,0.2,0,4.8,1.6,55.6,2044,107,70,0,167,411,151,25,441,25.99,24.41,28.12,21.86,18.77,26.01,23.17,9.92,40.98,16.29,28.12,0.38,12.69,18.77,4.51,108.95,97.1,132.8,122.95,114.75,117.8,112.45,107,48107
31043,2018,5.36,7.03,3.95,4.2,4.6,3.8,76.4,67.4,79.7,62,91.6,13.9,16.6,55017,28881,25699,33910,20317,97.6,68.9,4.7,2.9,3.3,0.1,17.7,2.4,38.5,7456,603,292,0,901,1484,968,79,789,19.11,16.14,22.77,18.49,16.37,21.1,20.82,9.75,34.41,12.91,22.06,1.69,28.66,35.69,20.03,183.6,144.2,227,209.8,195,156.6,144.2,144,31043
23013,2018,4.18,2.43,5.9,3.8,2.3,5.3,78.6,73,85.6,73.1,77,7.9,10.9,55402,28898,25312,34477,39823,97.9,96.4,0.6,0.3,0.5,0,0,2.1,1.5,17156,839,330,20,537,2546,644,111,1203,34.15,28.24,39.92,17.83,12.64,22.9,21.52,12.68,30.16,15.05,28.65,1.76,11.45,17.79,5.26,80,117.86,185,185,180,150,135,130,23013
49039,2018,7.22,8.63,5.99,6.6,7.6,5.9,63.3,49.1,69.2,58.9,63.2,9.9,16.5,51720,18558,12521,30515,29366,98.1,88.1,0.9,1,0.5,0.5,7,1.9,9.6,8483,856,1025,35,232,2471,1363,68,721,32.45,29.44,35.98,17.28,13.05,22.26,21.19,11.03,33.13,14.5,25.38,1.7,14.59,21.1,6.93,122.31,124.62,150.58,138.46,135,141.35,132.23,123.23,49039
28029,2018,10.62,9.21,12.03,10.6,9.1,12.1,63.9,78.1,73.1,70.9,70.9,19,24,40361,26377,21737,32299,28721,99,45.4,51.9,0,0.3,0,1.4,1,3.2,9623,539,247,0,984,1488,670,53,1670,27.82,16.74,38.55,18.74,15.95,21.44,21.29,16.08,26.33,9.32,17.32,1.57,22.84,33.91,12.11,64.31,39.93,70.05,66.26,66.26,59.54,59.54,51.52,28029
21161,2018,5.42,5.14,5.66,5.2,5.5,4.9,62.7,53.5,83.1,63.9,73.9,12,18.1,41415,28700,24046,35347,17153,97.4,90.7,5.4,0,0.9,0,0.3,2.6,1.8,6711,385,245,29,310,1066,363,182,634,30.86,25.79,36.7,15.57,12.08,19.59,21.15,10.31,33.66,12.24,21.19,1.92,20.18,30.63,8.13,105,87.5,114.85,100,100,87.5,85,85,21161
47001,2018,6.02,6.69,5.44,6.1,7,5.3,66.9,69.6,75.1,68.7,79.1,13.5,16.2,49376,28783,23018,35703,75775,97.3,91.3,3.3,0.5,1.3,0,0.9,2.7,2.8,30483,1702,755,76,1413,4748,1709,262,2851,33.72,30.16,37.83,18.9,16.17,22.07,21.73,13.84,30.85,9.83,17.65,0.78,15.82,22.19,8.46,59,65,185,147.63,147.63,135,122.75,122.75,47001
40099,2018,3.84,4.46,3.33,3.7,4.7,2.8,65.2,91.9,68.6,72,81.8,9.3,14.9,51490,31869,26698,36849,13875,88.9,75.9,1.6,9.8,0.6,0,1,11.1,6.4,5354,366,114,9,233,867,339,130,552,29.02,25.34,33.63,21.35,15,29.31,18.11,9.3,29.16,14.72,26.36,0.11,16.81,24,7.79,85.42,84.86,150.96,126.89,126.89,113.64,110.36,110.36,40099
1055,2018,6.5,5.9,7.04,6.1,5.7,6.5,62.7,63.2,72.2,59.8,74.7,13.4,17.3,44023,27153,21487,33943,102939,98.3,80.3,15.7,0.7,0.7,0.1,0.7,1.7,3.8,38777,1910,1343,119,2073,5601,2465,726,4055,30.24,25.76,35.18,18.48,12.97,24.58,20.71,14.2,27.91,9.1,16.38,1.05,21.47,30.68,11.28,80.09,64.26,92.88,92.88,86.76,69.11,69.11,64.26,01055
6077,2018,8.67,8.83,8.53,8.1,8.2,7.9,65.7,66.8,71.8,56.4,81,12.7,15.9,61145,31886,25854,37701,732212,89.8,56.3,7.1,0.6,15.4,0.6,9.7,10.2,41.1,226727,18387,17728,1102,18015,50088,31733,3717,30715,27.72,23.47,32.95,18.35,14.36,23.27,21.73,13.67,31.67,13.78,22.93,2.49,18.43,25.56,9.61,169.4,151.58,293.17,188.01,188.01,193.58,174.66,174.66,06077
28027,2018,17.93,18.91,16.79,17.3,17.9,16.5,71.1,79.3,79.5,81.9,71,28.1,34,30009,22059,19253,26924,23802,99.3,21.2,77.5,0.1,0.5,0,0,0.7,0.2,8744,279,225,50,1571,663,235,27,2522,28.3,22.44,33.43,26.57,19.54,32.74,18.04,10.18,24.93,9.88,20.61,0.47,17.22,27.24,8.43,60.26,46.17,65.22,61.95,61.95,56.12,56.12,48.34,28027
1069,2018,7.04,6.78,7.28,6.7,6.5,7,65.8,67.1,73.2,72.9,77.9,14,18.3,45496,28801,22805,35379,104352,97.9,69.4,26.9,0.3,0.8,0,0.5,2.1,3.3,39253,2381,1171,155,3101,5847,2522,308,5454,31.68,26.65,37.1,18.54,15.6,21.7,24.25,15.73,33.42,9.76,18.14,0.75,15.77,23.88,7.03,79.25,71.4,86.2,86.2,81.75,81.68,81.68,77.11,01069
21031,2018,6.03,5.35,6.6,5.9,5.8,6,61.4,81,65.3,32.8,73.9,15.6,19.4,40061,27873,22912,32366,12745,98.8,96.9,0.4,0.2,0.2,0,1.1,1.2,3.2,4996,255,201,19,251,681,373,102,496,27.53,19.88,36.64,10.91,9.67,12.39,19.36,9.6,30.99,12.21,21.73,0.86,29.99,39.12,19.12,97.5,85,112.5,102.5,102.5,90,86.25,86.25,21031
37137,2018,7.93,6.1,9.65,7.2,4.9,9.4,66.4,67.1,75.5,55.6,64.1,8.8,14.1,44947,26200,23478,29405,12742,96.4,76.1,18.2,0.2,0.6,0,1.2,3.6,3.7,5352,180,98,34,132,555,178,139,375,31.27,22.72,40.05,16.1,12.74,19.56,20.89,10.64,31.41,16.67,32,0.93,15.06,21.9,8.05,61.07,90.23,167.08,129.69,79.15,117.92,104.54,104.54,37137
48101,2018,8.52,13.73,3.94,7.7,11.1,4.7,79.9,100,97.3,83.7,90.1,19.4,31.4,34375,21934,12639,26970,1623,96.9,73,15,0.3,0,0,8.6,3.1,23.5,686,73,3,0,108,180,16,0,122,23.82,15.57,34.26,29.62,25.96,34.26,20.31,14.75,27.34,20.15,36.07,0,6.11,7.65,4.15,108.95,89.3,126.75,116.35,107.75,110.95,105.3,99.6,48101
48225,2018,2.16,1.98,2.32,1.9,1.9,1.9,64.9,76.2,74.2,51.6,54,17.9,24.7,34297,22610,17904,26172,22955,97.4,68.5,24.9,0.3,0.3,0,3.4,2.6,10.9,8209,366,300,118,506,781,502,94,1059,24.86,17.86,32.91,20.35,17.8,23.28,23.3,12.25,36,12.15,21.99,0.84,19.34,30.09,6.97,98.4,85.75,124.25,113.5,104.65,107.9,102.15,96.25,48225
38075,2018,1.86,0.42,2.75,1.7,0,2.7,60.5,44.3,72.2,71.7,94.1,2.2,4.7,68182,40727,25203,54341,2495,98.3,96.2,0.2,0.5,0.8,0,0.5,1.7,6.3,1022,113,85,0,10,168,113,0,30,32.54,32.3,32.91,14.42,6.59,26.75,19.85,11.04,33.76,18.04,27.86,2.55,15.16,22.21,4.03,64.04,60.27,147.57,141.09,126.13,105.92,105.92,102.29,38075
26017,2018,6.93,5.22,8.52,6.4,4.7,8,72.3,79.7,81.6,74,78.7,12,16,48005,29227,24632,35506,104786,97.8,94.7,1.7,0.4,0.6,0,0.4,2.2,5.3,43891,2293,964,215,1778,6936,1252,432,4078,29.32,24.95,33.89,20.81,14.93,26.95,23.5,14.59,32.81,9.44,17.81,0.7,16.93,27.71,5.65,118.81,96.33,150.07,150.07,131.31,102.76,99.93,96.33,26017
20029,2018,4.66,4.64,4.69,3.8,2.1,5.2,79.4,73.3,85.5,69,84.2,6.9,12.1,44143,28067,22511,34463,9060,98.2,95.4,1.8,0.1,0,0,0.9,1.8,3.2,3858,291,89,0,206,620,223,61,221,33.79,26.43,42.51,17.24,12.87,22.42,19.97,12.5,28.84,11.3,20.16,0.78,17.7,28.03,5.45,92.2,81.7,113,117.1,101.8,96.3,81.7,81.7,20029
48295,2018,6.11,7.08,5.48,5.3,7.8,3.6,67.4,35.6,79.1,66.2,90.4,10,11.4,57372,31290,22318,42632,3469,95.8,85.1,0.5,2,1,0,7.2,4.2,30.3,1256,106,119,0,45,267,123,20,84,29.57,26.2,34.92,11.96,4.2,24.29,17.3,8.1,31.9,19.2,30.6,1.11,21.96,30.9,7.78,114,99.95,142.6,130.75,112.65,124.55,118.15,111.65,48295
23015,2018,3.77,3.18,4.32,3.8,3.5,4.1,73.4,64.1,75.4,68.9,81.3,7.7,12,55180,29347,24394,35641,34067,99,97,0.5,0.4,1,0,0.2,1,1.2,15372,623,338,13,410,1634,597,150,983,34.3,27.87,40.94,20.02,13.3,26.95,17.81,10.5,25.34,15.78,28.66,2.49,12.1,19.67,4.29,100,100,185,180,175,175,150,150,23015
48085,2018,3.91,4.12,3.73,3.6,3.9,3.4,73.5,68.8,74.3,57.9,91.2,4.7,6.6,94192,50063,39744,62137,944350,96.8,69.9,9.5,0.5,14.4,0.1,2.5,3.2,15.2,331336,33756,24193,1325,9911,87500,46739,2857,27049,53.27,52.88,53.75,12.32,10.64,14.33,22.76,18.42,27.96,5.26,9.32,0.4,6.38,8.74,3.56,144.4,126.2,181.55,166.15,153.4,158.1,149.8,141.35,48085
51830,2018,7.49,7.9,7.03,6.3,6.2,6.3,62.9,78.9,82.7,72.3,68.3,6.7,22.4,56163,10850,8366,16995,14788,96,74.5,14,0.5,6.5,0,0.4,4,7.1,4670,253,117,0,112,488,101,36,289,48.45,56.4,41.46,19.4,18.62,20.07,24.24,11.6,35.35,2.47,4.4,0.78,5.44,8.97,2.34,140,120,210,165,165,150,130,130,51830
37179,2018,5.35,5.51,5.21,4.9,4.9,4.8,71.6,72.4,73.2,61.6,89,6.5,8.9,75397,36323,27314,45169,226694,97.7,81.5,11.4,0.3,2.7,0,1.7,2.3,11,75165,7192,4723,249,2928,21114,12056,1200,6795,39.5,36.18,43.49,15.45,12.51,18.97,23.01,17.41,29.73,9.06,15.73,1.05,12.98,18.17,6.76,90.65,124.99,216.92,206.54,117.49,174.99,159.99,169.99,37179
