year,id,wrkstat,hrs1,hrs2,evwork,marital,martype,divorce,widowed,spwrksta,sphrs1,sphrs2,spevwork,cowrksta,coevwork,cohrs1,cohrs2,sibs,childs,age,educ,speduc,coeduc,codeg,degree,padeg,madeg,spdeg,sex,race,res16,reg16,mobile16,family16,famdif16,incom16,born,parborn,granborn,adults,earnrs,income,rincome,income16,rincom16,region,xnorcsiz,partyid,vote16,pres16,if16who,polviews,natspac,natenvir,natheal,natcity,natcrime,natdrug,nateduc,natrace,natarms,nataid,natfare,natroad,natsoc,natchld,natsci,natenrgy,natspacy,natenviy,nathealy,natcityy,natcrimy,natdrugy,nateducy,natracey,natarmsy,nataidy,natfarey,eqwlth,tax,spkath,colath,libath,spkrac,colrac,librac,spkcom,colcom,libcom,spkmslm,colmslm,libmslm,cappun,gunlaw,courts,grass,attend,reliten,postlife,pray,prayer,bible,racopen,raclive,affrmact,happy,hapmar,hapcohab,health,life,helpful,fair,trust,confinan,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,socrel,socommun,socfrend,socbar,joblose,jobfind,satjob,richwork,class,rank,satfin,finalter,finrela,unemp,union1,getahead,parsol,kidssol,fepol,abdefect,abnomore,abhlth,abpoor,abrape,absingle,abany,chldidel,pillok,sexeduc,divlaw,premarsx,teensex,xmarsex,homosex,pornlaw,xmovie,spanking,letdie1,suicide1,suicide2,suicide4,polhitok,polabuse,polmurdr,polescap,polattak,fear,owngun,pistol,shotgun,rifle,rowngun,hunt,hunt1,news,tvhours,form,fechld,fepresch,fefam,racdif1,racdif2,racdif3,racdif4,helppoor,helpnot,helpsick,helpblk,god,reborn,racwork,discaff,yousup,spwksup,fejobaff,discaffm,discaffw,fehire,vigversn,seriousp,charactr,imbalnce,wayraise,stresses,genetics,godswill,upsdowns,breakdwn,mentlill,physill,viglabel,dectreat,decmoney,imprvown,imprvtrt,vignei,vigsoc,vigfrnd,vigwork,viggrp,vigmar,hurtoth,hurtself,tlkfam,tlkclrgy,meddoc,mentldoc,sphealer,selfhelp,otcmed,rxmed,mentlhos,dofirst,mustdoc,mustmed,musthosp,dangrslf,dangroth,knwmhosp,knwpatnt,fammhneg,othmhneg,diagnosd,mhtreatd,relpersn,sprtprsn,othlang,spklang,letinhsp,letinasn,compuse,webmob,satdemoc,chldvig,chldprob,badchar,chembal,stressfl,geneprob,raised,violtv,discipln,allergic,imprvdis,imprveat,imprvmed,nextdoor,spendeve,chldfrnd,chldsch,adfam,adtch,addoc,adcoumed,adpsy,grwingup,mntlill,violpeop,violself,numemps,mhunsure,mhtrtot2,polint,poleff11,cctv,posslq,posslqy,marcohab,trcourts,goodlife,marsame,meovrwrk,relactiv,befair,cantrust,ambornin,amcit,amchrstn,amgovt,amfeel,amcitizn,amshamed,belikeus,ambetter,ifwrong,prouddem,proudpol,proudeco,proudspt,proudart,proudhis,imports,wrldgovt,amownway,forland,amtv,immcrime,immameco,immjobs,letin1,citizen,amancstr,intlincs,letin1a,immassim,paytaxes,obeylaws,watchgov,helpusa,solok,rghtsmin,polopts,oppsegov,poleff18,corruptn,demtoday,dem10pst,dem10fut,polnews,leftrght,acqntsex,sexsex,sexfreq,condom,crack30,hivtest,sexornt,ethnic,eth1,hispanic,racecen1,racecen2,racecen3,uscitzn,vetyears,dwelown,dwelown16,worda,wordb,wordc,wordd,worde,wordf,wordg,wordh,wordi,wordj,wordsum,dateintv,cohort,mode,letdie1y,ballot,issp,sampcode,sample,phase,spanself,spaneng,vstrat,vpsu,kish,famdif16y,ethworld1,ethworld2,ethworld3,ethworld4,ethworld5,ethworld6,ethworld7,ethworld8,ethworld9,wrkgovt1,wrkgovt2,spkathy,libathy,spkracy,libracy,spkcomy,colcomy,libcomy,spkmslmy,libmslmy,polhitoky,polabusey,polattaky,abdefectg,abnomoreg,abhlthg,abpoorg,abrapeg,absingleg,suicide1g,suicide2g,suicide4g,maborn,paborn,sexbirth1,hivafraid,hivimmrl,hivdscrm,ptnrornt,ptnrsxbrth,wtssps,wtssnrps,prayerv,courtsv,discaffwv,racopenv,getaheadv,divlawv,helpfulv,fairv,trustv,grassv,relitenv,biblev,postlifev,kidssolv,uscitznv,fepolv,prayernv,courtsnv,discaffwnv,racopennv,getaheadnv,divlawnv,helpfulnv,fairnv,trustnv,grassnv,relitennv,biblenv,postlifenv,kidssolnv,uscitznnv,fepolnv,abanyg,adultsinhh,adoptus,immfate,xmoviey,vote20,pres20,if20who,wordk,wordl,wordn,svyenjoy,svyid1,svyid2,racdif1x,racdif2x,racdif3x,racdif4x,modesequence,subsamprate,racdif5,marsamey,mobiledata,broadband,rateincumb24,ratechall124,ratechall224,ratechall324,ratedemp,raterepp,ratemaga,lkelyvot,whovote24a,econstat,polintrst,intrnetuse,nouseint1,nouseint2,nouseint3,nouseint4,nouseint5,nouseint6,nouseint7,nouseint8,nouseint9,nouseint10,nouseint11,nouseint12,intaccprxy,prxyuse,ftruse,inthome,intprfssnl,intpub,intbhlf,unplug,unplgrsn,intskill,intsurf,intliteracy,intapps,intcomm,intshare,intsearch,intgame,intstream,intfncl,intmeet,intlnly,inttrig,intnews,intcnfrm,intrust,intpolview,intoppo,intviews,techesy,harmgood1,nextgen1,intscam,inthrss,polnewsfrom,smnews,tvnews1,papernews,radionews,webnews,modepet,modeprot,modelobby,modeorgprot,modeorg,trppl,trcong,dataprot,emonitor1,infodeal,infoprofit,gendtech,urbantech,eductech,classtech,aiworry,aimed,aidrive,owndecns,brneffrt,immcrime1,immjobs1,immideas1,immwlfare,conscrp,incgap1,leftrght1,servpub,fulldem,poltalk,conpow,bizmoney,experts,biasnews,usmca1,usmca2,morextrm,bullied,smedia,imprvown1,mustdoc1,mustmed1,musthosp1,physill1,bullpeer,rumopeer,fighpeer,schshoot,cutself,negself,foodalc,risklife,takelife,sexornt1,nocondom,femself1,mascself1,femsee1,mascsee1,racdif5x,whovote24,whovotets,voteprob,rateincumbts,ratechall1ts,ratechall2ts,ratechall3ts,chldfam_asn,chldfam_blk,chldfam_hisp,chldfam_wht,chldfam_oth,chldadlt_asn,chldadlt_blk,chldadlt_hisp,chldadlt_wht,chldadlt_oth,chldchld_asn,chldchld_blk,chldchld_hisp,chldchld_wht,chldchld_oth,chldshop_asn,chldshop_blk,chldshop_hisp,chldshop_wht,chldshop_oth,aidrive_comfort,income_fct,polviews_fct,tech_harm,tech_easy
2024,1,1,43,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,40,NA,6,2,33,16,NA,18,4,3,0,1,NA,male,2,4,2,3,1,NA,1,1,0,0,2,2,12,12,23,21,1,4,1,1,1,NA,4,2,1,1,1,1,2,1,1,3,3,1,3,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,7,NA,NA,2,NA,NA,NA,1,1,3,NA,2,2,NA,NA,NA,NA,1,1,1,1,2,2,1,1,1,3,3,2,1,4,7,3,3,3,2,2,NA,3,4,3,3,3,2,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,4,4,NA,NA,2,1,2,1,NA,NA,NA,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,4,15,1,3,3,3,NA,NA,NA,NA,1,3,3,1,6,1,NA,3,NA,NA,2,3,NA,2,59,2,2,2,2,2,2,2,2,3,2,3,3,3,1,2,2,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,NA,NA,4,4,2,NA,2,1,2,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,5,NA,1,2,NA,2,5,2,NA,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,3,4,NA,NA,1,3,NA,NA,1,2,NA,NA,NA,0,1,2,NA,1,0,1,1,1,NA,0,NA,0,5,927,1991,4,NA,2,1,701,13,2,NA,1,3401,1,123123,NA,0,1,0,0,0,0,1,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,1,1,3,3,2,1.8899888456371277,2.3694902976256658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,1,3,3,2,1,1,2,1,1,NA,2,NA,2,NA,NA,NA,1,1,NA,0,0,1,5,4,4,2,2,2,2,2,0.4,NA,NA,NA,NA,65,0,65,45,80,6,0,1,NA,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,2,5,5,1,1,1,2,1,1,1,4,3,2,5,5,5,5,5,0,3,3,6,1,3,3,2,4,2,2,3,3,3,3,4,4,4,4,4,5,5,2,1,1,5,2,2,3,2,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0,6,0,6,2,3,3,5,65,0,65,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,$110k or more,Moderate,Neutral,Agree
2024,4,2,20,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,19,12,NA,NA,NA,1,0,0,NA,male,3,4,1,1,3,NA,3,2,2,4,4,3,12,NA,25,NA,1,4,3,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,3,3,3,1,1,1,2,1,2,1,1,1,1,NA,1,NA,5,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,1,NA,3,2,4,NA,1,1,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,7,4,2,1,1,3,4,2,1,3,NA,NA,3,NA,NA,NA,2,2,2,2,NA,2,2,2,3,1,2,2,1,1,NA,NA,NA,1,NA,1,2,2,NA,NA,NA,NA,NA,2,NA,3,3,3,NA,4,4,5,2,2,2,2,2,NA,2,1,2,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,1,1,1,1,1,2,3,3,1,NA,4,37,1,1,2,2,2,1,4,2,4,2,3,2,1,1,1,2,NA,2,2,2,1,1,3,3,3,NA,NA,NA,4,NA,2,NA,4,3,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,3,804,NA,1,6,NA,NA,1,0,1,2,1,1,0,1,1,1,0,0,1,0,6,814,2005,1,1,1,1,701,13,1,NA,1,3401,1,121351,2,0,0,0,0,0,0,0,1,0,1,1,1,2,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,2.288064017471433,2.735829593562734,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,3,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,1,1,NA,3,NA,NA,50,50,50,50,50,50,50,5,4,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,NA,2,4,1,1,1,1,2,3,2,2,1,3,3,5,2,3,2,8,NA,NA,6,3,2,2,4,1,1,1,2,3,3,4,3,4,4,4,4,0,NA,2,2,5,4,NA,NA,NA,NA,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,2,1,3,3,3,4,3,3,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,4,2,50,50,50,50,0,80,20,0,0,NA,NA,NA,NA,NA,0,40,30,10,20,NA,NA,NA,NA,NA,1,$110k or more,Not reported,Agree,Neutral
2024,10,4,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,25,12,NA,NA,NA,1,0,0,NA,male,2,4,1,1,1,NA,3,1,8,2,4,3,NA,NA,NA,NA,1,4,3,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,3,2,1,3,3,2,3,3,2,1,3,2,NA,1,NA,4,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,1,NA,NA,5,NA,NA,NA,1,1,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,7,7,NA,NA,2,1,3,7,2,1,3,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,3,1,1,NA,3,2,2,1,NA,NA,2,NA,1,2,1,NA,NA,NA,NA,NA,2,2,2,2,2,NA,4,4,5,24,2,2,3,2,1,1,1,1,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,2,NA,2,1,2,NA,3,3,1,NA,4,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,5,NA,NA,NA,4,3,0,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,802,NA,1,2,NA,NA,NA,0,1,2,1,1,0,1,0,1,0,0,1,0,5,815,1999,4,2,1,1,701,13,1,NA,1,3401,1,122325,NA,0,1,0,0,0,0,0,1,0,2,2,1,1,2,2,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,2.2428151995481964,2.9400027085641187,NA,NA,NA,NA,1,3,NA,NA,NA,NA,2,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,2,4,4,NA,NA,NA,NA,1,1,1,3,NA,NA,50,50,50,50,50,50,50,5,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,1,5,NA,1,1,5,1,4,5,5,1,1,2,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,2,3,4,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,4,2,50,50,50,50,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,Not reported,Moderate,Can't choose,Can't choose
2024,12,5,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,68,5,NA,NA,NA,0,1,NA,NA,female,1,3,0,3,6,1,2,2,2,4,1,3,8,NA,8,NA,1,6,2,1,1,NA,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0,NA,NA,6,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,3,3,3,2,2,1,1,1,2,3,1,3,2,2,2,5,2,NA,NA,NA,NA,2,5,1,3,3,2,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,4,4,NA,NA,2,2,4,1,NA,NA,NA,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,1,4,NA,NA,NA,NA,NA,1,1,1,1,2,2,NA,3,NA,NA,2,3,NA,1,27,1,4,2,3,2,3,4,1,3,2,3,1,2,1,3,1,1,2,1,1,1,2,3,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,NA,NA,2,2,2,NA,4,2,1,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,2,4,NA,3,2,2,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,3,24,14,1,1,NA,NA,1,0,2,2,NA,1,1,1,1,1,NA,1,NA,1,10,830,1956,4,NA,2,1,701,13,2,NA,1,3401,2,122315,NA,1,0,0,0,0,0,0,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,2,1,1,3,3,1,1.1035043789313133,1.390744696608036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,1,1,2,1,1,4,3,2,3,1,2,NA,1,NA,NA,NA,1,1,NA,1,1,1,4,4,4,1,2,1,2,2,0.4,NA,NA,NA,NA,60,0,85,0,70,15,15,NA,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,1,2,7,1,1,1,1,3,4,2,5,2,4,5,5,2,2,2,3,3,3,3,3,4,2,4,4,3,1,3,3,3,3,3,3,3,4,3,5,5,1,3,5,5,3,3,2,1,2,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5,0,5,0,2,NA,2,5,60,0,85,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Less than $20k,Liberal,Disagree,Neutral
2024,15,1,60,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,3,63,12,NA,NA,NA,1,4,1,NA,female,1,1,1,1,1,NA,3,1,0,3,1,1,10,9,12,10,1,6,3,1,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,1,NA,NA,1,2,NA,1,3,1,NA,2,NA,4,NA,NA,4,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,7,1,1,1,2,2,NA,1,NA,1,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,4,6,4,1,1,1,1,7,3,2,5,NA,NA,1,NA,NA,2,1,1,1,2,1,1,1,8,2,1,1,NA,2,1,2,NA,NA,3,NA,1,2,NA,NA,NA,NA,NA,NA,2,1,1,2,2,1,4,4,5,0,2,2,2,2,NA,2,2,2,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,2,NA,1,1,2,NA,3,3,1,NA,3,9,1,NA,1,1,2,2,1,1,NA,3,NA,2,2,1,2,1,1,1,1,2,2,2,2,3,2,0,NA,NA,4,NA,NA,NA,3,3,5,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,3,14,NA,1,1,NA,NA,NA,0,1,1,0,1,NA,1,1,1,1,1,0,0,6,924,1961,2,NA,1,1,701,13,2,NA,1,3401,2,113226,NA,1,0,0,0,0,0,0,0,0,2,2,NA,1,1,2,NA,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,1.1101517181365106,1.382596636176642,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,1,1,NA,NA,NA,NA,4,4,3,NA,NA,NA,NA,2,0.4,1,3,NA,NA,25,0,50,75,50,50,0,1,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,2,2,5,1,1,1,NA,2,3,1,5,5,1,5,5,3,NA,3,4,NA,NA,6,NA,NA,NA,3,4,NA,2,NA,NA,NA,NA,3,4,4,4,4,7,5,2,4,NA,5,4,3,NA,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,3,3,3,3,NA,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,25,0,50,75,0,0,0,100,0,0,10,0,90,0,1,10,5,84,0,0,11,8,81,0,0,Less than $20k,Moderate,Can't choose,Can't choose
2024,16,1,37,NA,NA,1,1,2,2,1,40,NA,NA,NA,NA,NA,NA,3,1,31,19,16,NA,NA,4,1,1,3,female,1,5,1,1,8,1,4,1,0,1,2,2,12,12,22,20,1,6,0,1,1,NA,3,2,1,1,2,1,1,1,1,3,2,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,2,2,5,1,1,5,2,2,5,1,NA,2,NA,NA,2,2,1,6,1,3,2,1,3,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,4,4,1,2,1,3,3,2,1,4,NA,NA,2,NA,NA,2,1,1,1,1,1,1,1,1,2,1,1,4,1,1,4,NA,NA,3,1,1,1,1,NA,NA,NA,NA,NA,2,2,2,2,2,NA,4,4,5,2,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,1,3,4,2,2,80,2,4,2,4,2,4,4,3,3,2,3,NA,1,1,3,1,1,1,1,1,2,1,4,4,1,1,1,1,NA,1,2,1,2,1,2,1,2,1,1,NA,NA,3,1,1,1,4,2,2,NA,4,4,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,1,1,NA,1,3,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,3,21,NA,1,1,NA,NA,NA,0,1,1,NA,1,1,1,1,1,NA,0,NA,1,8,428,1992,1,NA,1,1,701,13,1,NA,1,3401,2,111224,NA,1,0,0,0,0,0,0,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,2.104383057270043,2.5869502868223826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,NA,1,1,NA,1,0,1,2,2,2,2,2,1,2,2,0.4,NA,NA,NA,NA,70,0,85,60,60,20,0,2,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,3,5,1,1,1,1,1,1,2,4,1,1,4,4,3,3,1,5,3,3,6,2,3,2,4,1,1,3,3,3,3,3,2,4,1,4,4,4,2,1,2,2,2,2,2,3,1,2,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,5,70,0,85,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,$50-110k,Liberal,Neutral,Agree
